z,wave,ground,cumulWave
375.2236341263683,0.016294789,0.007706805,0.9920593
375.0734873433869,0.020444678,0.009711017,0.9896151
374.92334056040545,0.025445519,0.012194759,0.9865483
374.773193777424,0.031195737,0.014990521,0.9827315
374.6230469944426,0.038160067,0.018488683,0.97805214
374.47290021146114,0.04570933,0.022145243,0.9723282
374.3227534284797,0.054702435,0.026531352,0.9654718
374.17260664549826,0.06492688,0.031591587,0.95726645
374.0224598625168,0.07587614,0.036903933,0.9475274
373.8723130795354,0.087915555,0.043339234,0.93614596
373.72216629655395,0.10076029,0.049111944,0.9229587
373.5720195135725,0.11400569,0.055814605,0.9078446
373.4218727305911,0.12877508,0.06291981,0.89074373
373.27172594760964,0.14277884,0.06965666,0.8714275
373.1215791646282,0.15702939,0.07669028,0.85001063
372.97143238164676,0.17122248,0.08328564,0.8264562
372.8212855986653,0.18434048,0.08949284,0.8007728
372.6711388156839,0.19710447,0.09568334,0.7731217
372.52099203270245,0.20848389,0.100817,0.743556
372.370845249721,0.21881287,0.105875626,0.7122835
372.2206984667395,0.22743414,0.109805435,0.67946154
372.0705516837581,0.23422155,0.11308941,0.6453464
371.92040490077665,0.23943795,0.115643114,0.61021316
371.7702581177952,0.24270503,0.11721723,0.5742974
371.62011133481377,0.24417323,0.1181466,0.5378917
371.46996455183233,0.24351367,0.11796881,0.5012657
371.3198177688509,0.24133387,0.117293105,0.46473864
371.16967098586946,0.23720783,0.11560159,0.42853853
371.019524202888,0.23142244,0.11321202,0.39295736
370.8693774199066,0.22413345,0.110069975,0.35824397
370.71923063692515,0.21534866,0.106224224,0.32462394
370.5690838539437,0.20537284,0.10178716,0.29232162
370.4189370709623,0.19427276,0.09676605,0.2615157
370.26879028798083,0.18230724,0.09127213,0.23237479
370.1186435049994,0.16964391,0.08538994,0.2050287
369.96849672201796,0.15650009,0.079197645,0.17958212
369.8183499390365,0.14310485,0.07281829,0.1561071
369.6682031560551,0.12966493,0.06634332,0.13464138
369.51805637307365,0.11639338,0.059882946,0.11519163
369.3679095900922,0.10348038,0.053534742,0.097732626
369.2177628071108,0.091101766,0.047392573,0.08221056
369.06761602412934,0.079404406,0.041536678,0.0685453
368.91746924114784,0.06850629,0.03603458,0.056634635
368.7673224581664,0.05849233,0.030937256,0.046358686
368.61717567518497,0.049417417,0.026281606,0.037584834
368.46702889220353,0.041301854,0.022085765,0.030172223
368.3168821092221,0.034141712,0.01835554,0.023976946
368.16673532624066,0.027909635,0.01508474,0.018855687
368.0165885432592,0.022555558,0.012253903,0.01466924
367.8664417602778,0.018016255,0.009840331,0.011285906
367.71629497729634,0.014218132,0.007805589,0.008583467
367.5661481943149,0.011080023,0.0061142053,0.0064507467
367.41600141133347,0.0085274,0.0047294507,0.004788743
367.26585462835203,0.006476825,0.0036100051,0.0035096328
367.1157078453706,0.0048522796,0.0027190784,0.002538109
366.96556106238916,0.0035850836,0.0020195914,0.0018102669
366.8154142794077,0.0026089617,0.0014773991,0.0012725043
366.6652674964263,0.0018698495,0.0010653544,0.00088115997
366.51512071344484,0.0013182907,0.00075520715,0.0006006825
366.3649739304634,0.0009146885,0.00052757683,0.00040293887
366.21482714748197,0.00062441436,0.00036240302,0.00026573558
366.06468036450053,0.00041832204,0.0002445364,0.00017207341
365.9145335815191,0.00027513187,0.00016235682,0.0001093251
